CBSA Code,RentGrowth
10180,0.0277
10180,0.0277
10180,0.0277
10420,0.0489
10420,0.0489
10500,0.0382
10500,0.0382
10500,0.0382
10500,0.0382
10500,0.0382
10540,0.0212
10740,0.0152
10740,0.0152
10740,0.0152
10740,0.0152
10780,0.0204
10780,0.0204
11020,0.053
11100,0.0211
11100,0.0211
11100,0.0211
11100,0.0211
11100,0.0211
11180,0.0191
11260,0.0212
11260,0.0212
11460,0.0256
11540,0.0236
11540,0.0236
11700,0.0188
11700,0.0188
11700,0.0188
11700,0.0188
12220,0.0341
12540,0.0134
12620,0.0351
12700,-0.0057
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12980,0.0387
13020,0.041
13220,0.0138
13220,0.0138
13380,0.0097
13740,0.0031
13740,0.0031
13740,0.0031
13780,0.0585
13780,0.0585
13900,0.0527
13900,0.0527
13900,0.0527
13900,0.0527
14010,0.0409
14010,0.0409
14020,0.0171
14020,0.0171
14100,-0.0139
14100,-0.0139
14500,-0.0047
14540,-0.003
14540,-0.003
14540,-0.003
14540,-0.003
15180,0.0185
15260,0.0016
15260,0.0016
15260,0.0016
15500,0.0169
15680,0.0625
16060,0.0371
16060,0.0371
16180,0.0043
16220,0.0744
16300,0.0182
16300,0.0182
16300,0.0182
16540,0.0139
16580,0.0419
16580,0.0419
16580,0.0419
16620,0.041
16620,0.041
16620,0.041
16820,0.0546
16820,0.0546
16820,0.0546
16820,0.0546
16820,0.0546
16820,0.0546
16940,0.0601
17020,0.0208
17420,0.0269
17420,0.0269
17660,0.007
17780,0.0382
17780,0.0382
17780,0.0382
17820,-0.0102
17820,-0.0102
17860,0.0693
17900,0.022
17900,0.022
17900,0.022
17900,0.022
17900,0.022
17900,0.022
18020,-0.006
18140,0.029
18140,0.029
18140,0.029
18140,0.029
18140,0.029
18140,0.029
18140,0.029
18140,0.029
18140,0.029
18140,0.029
18580,-0.0038
18580,-0.0038
18580,-0.0038
18700,0.0214
19140,0.0052
19140,0.0052
19180,0.0349
19300,-0.0066
19380,0.0388
19380,0.0388
19380,0.0388
19460,0.0296
19460,0.0296
19500,0.0773
20020,0.0322
20020,0.0322
20020,0.0322
20100,0.0274
20220,0.0226
20700,0.0356
20740,0.0272
20740,0.0272
20940,0.0157
21060,0.0343
21060,0.0343
21060,0.0343
