CBSA Code,RentGrowth
10180,0.0277
10180,0.0277
10180,0.0277
10420,0.0489
10420,0.0489
10500,0.0382
10500,0.0382
10500,0.0382
10500,0.0382
10500,0.0382
10540,0.0212
10580,0.0303
10580,0.0303
10580,0.0303
10580,0.0303
10580,0.0303
10740,0.0152
10740,0.0152
10740,0.0152
10740,0.0152
10780,0.0204
10780,0.0204
11020,0.053
11100,0.0211
11100,0.0211
11100,0.0211
11100,0.0211
11100,0.0211
11180,0.0191
11260,0.0212
11260,0.0212
11460,0.0256
11540,0.0236
11540,0.0236
11700,0.0188
11700,0.0188
11700,0.0188
11700,0.0188
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12060,-0.0272
12260,-0.0058
12260,-0.0058
12260,-0.0058
12260,-0.0058
12260,-0.0058
12260,-0.0058
12260,-0.0058
12420,-0.0637
12420,-0.0637
12420,-0.0637
12420,-0.0637
12420,-0.0637
12540,0.0134
12580,0.0241
12580,0.0241
12580,0.0241
12580,0.0241
12580,0.0241
12580,0.0241
12580,0.0241
12620,0.0351
12700,-0.0057
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12940,0.0172
12980,0.0387
13020,0.041
13140,0.0296
13140,0.0296
13140,0.0296
13140,0.0296
13220,0.0138
13220,0.0138
13380,0.0097
13740,0.0031
13740,0.0031
13740,0.0031
13780,0.0585
13780,0.0585
13900,0.0527
13900,0.0527
13900,0.0527
13900,0.0527
14010,0.0409
14010,0.0409
14020,0.0171
14020,0.0171
14500,-0.0047
14540,-0.003
14540,-0.003
14540,-0.003
14540,-0.003
15260,0.0016
15260,0.0016
15260,0.0016
15500,0.0169
16020,0.0108
16020,0.0108
16020,0.0108
16180,0.0043
16220,0.0744
16300,0.0182
16300,0.0182
16300,0.0182
16620,0.041
16620,0.041
16620,0.041
16820,0.0546
16820,0.0546
16820,0.0546
16820,0.0546
16820,0.0546
