"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"310M600US10180","Abilene, TX Metro Area","176579",
"310M600US10380","Aguadilla-Isabela, PR Metro Area","310160",
"310M600US10420","Akron, OH Metro Area","702219",
"310M600US10500","Albany, GA Metro Area","148922",
"310M600US10540","Albany-Lebanon, OR Metro Area","128610",
"310M600US10580","Albany-Schenectady-Troy, NY Metro Area","899262",
"310M600US10740","Albuquerque, NM Metro Area","916528",
"310M600US10780","Alexandria, LA Metro Area","152192",
"310M600US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","861889",
"310M600US11020","Altoona, PA Metro Area","122822",
"310M600US11100","Amarillo, TX Metro Area","268691",
"310M600US11180","Ames, IA Metro Area","125252",
"310M600US11260","Anchorage, AK Metro Area","398328",
"310M600US11460","Ann Arbor, MI Metro Area","372258",
"310M600US11500","Anniston-Oxford, AL Metro Area","116441",
"310M600US11540","Appleton, WI Metro Area","243147",
"310M600US11640","Arecibo, PR Metro Area","182705",
"310M600US11700","Asheville, NC Metro Area","469015",
"310M600US12020","Athens-Clarke County, GA Metro Area","215415",
"310M600US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","6089815",
"310M600US12100","Atlantic City-Hammonton, NJ Metro Area","274534",
"310M600US12220","Auburn-Opelika, AL Metro Area","174241",
"310M600US12260","Augusta-Richmond County, GA-SC Metro Area","611000",
"310M600US12420","Austin-Round Rock-Georgetown, TX Metro Area","2283371",
"310M600US12540","Bakersfield, CA Metro Area","909235",
"310M600US12580","Baltimore-Columbia-Towson, MD Metro Area","2844510",
"310M600US12620","Bangor, ME Metro Area","152199",
"310M600US12700","Barnstable Town, MA Metro Area","228996",
"310M600US12940","Baton Rouge, LA Metro Area","870569",
"310M600US12980","Battle Creek, MI Metro Area","134310",
"310M600US13020","Bay City, MI Metro Area","103856",
"310M600US13140","Beaumont-Port Arthur, TX Metro Area","397565",
"310M600US13220","Beckley, WV Metro Area","115079",
"310M600US13380","Bellingham, WA Metro Area","226847",
"310M600US13460","Bend, OR Metro Area","198253",
"310M600US13740","Billings, MT Metro Area","184167",
"310M600US13780","Binghamton, NY Metro Area","247138",
"310M600US13820","Birmingham-Hoover, AL Metro Area","1115289",
"310M600US13900","Bismarck, ND Metro Area","133626",
"310M600US13980","Blacksburg-Christiansburg, VA Metro Area","166378",
"310M600US14010","Bloomington, IL Metro Area","170954",
"310M600US14020","Bloomington, IN Metro Area","161039",
"310M600US14100","Bloomsburg-Berwick, PA Metro Area","82863",
"310M600US14260","Boise City, ID Metro Area","764718",
"310M600US14460","Boston-Cambridge-Newton, MA-NH Metro Area","4941632",
"310M600US14500","Boulder, CO Metro Area","330758",
"310M600US14540","Bowling Green, KY Metro Area","179639",
"310M600US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","275611",
"310M600US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","957419",
"310M600US15180","Brownsville-Harlingen, TX Metro Area","421017",
"310M600US15260","Brunswick, GA Metro Area","113495",
