"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Population of one race:"," !!Total:!!Population of one race:!!White alone"," !!Total:!!Population of one race:!!Black or African American alone"," !!Total:!!Population of one race:!!American Indian and Alaska Native alone"," !!Total:!!Population of one race:!!Asian alone"," !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Population of one race:!!Some Other Race alone"," !!Total:!!Population of two or more races:"," !!Total:!!Population of two or more races:!!Population of two races:"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"," !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"," !!Total:!!Population of two or more races:!!Population of six races:"," !!Total:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race",
"310M600US10180","Abilene, TX Metro Area","176579","156953","124281","13928","1462","3091","203","13988","19626","18648","2078","3059","954","82","11632","137","101","13","322","16","3","126","73","29","23","887","179","84","12","152","46","17","268","29","46","2","0","0","8","22","15","0","2","0","0","5","88","10","6","30","8","0","2","6","18","0","7","0","1","0","0","0","3","2","1","0","0","0","0","0","0",
"310M600US10380","Aguadilla-Isabela, PR Metro Area","310160","147073","61522","11156","1230","212","39","72914","163087","153333","1900","263","48","13","139264","175","17","4","10261","3","6","1127","2","67","183","5136","1253","17","1","2754","4","0","324","1","27","19","1","0","701","1","13","3","2","5","9","1","4578","6","3","4520","2","12","4","0","6","6","4","0","12","0","3","0","32","7","12","11","1","1","0","8","8",
"310M600US10420","Akron, OH Metro Area","702219","662597","540596","87763","1327","26046","206","6659","39622","37244","9456","10106","3692","241","11343","919","291","36","812","39","7","59","89","142","12","2140","1049","178","27","309","133","18","233","66","70","4","20","2","26","0","3","2","0","0","0","0","210","95","5","86","2","2","0","4","8","1","2","4","0","1","0","0","23","14","4","2","0","1","2","5","5",
"310M600US10500","Albany, GA Metro Area","148922","143979","61727","78201","317","1677","55","2002","4943","4560","1343","1008","362","12","1140","264","66","36","231","12","1","27","28","19","11","303","117","37","6","39","24","13","23","15","7","0","2","0","9","5","3","2","1","0","0","0","60","19","0","21","1","5","3","0","5","0","0","0","0","4","2","0","17","6","10","0","0","0","1","3","3",
"310M600US10540","Albany-Lebanon, OR Metro Area","128610","116596","107700","681","1727","1477","295","4716","12014","11289","686","3958","958","248","5161","40","13","20","31","12","0","105","46","11","0","655","147","23","17","45","72","25","162","108","29","12","3","6","4","1","0","0","1","0","0","0","63","12","9","17","2","1","1","15","3","0","0","0","3","0","0","0","6","2","2","0","2","0","0","1","1",
"310M600US10580","Albany-Schenectady-Troy, NY Metro Area","899262","833928","683207","77752","2932","46308","424","23305","65334","61150","12306","11350","6553","240","23023","1204","479","102","3448","207","41","319","140","1439","299","3753","1417","305","38","900","138","17","424","118","151","17","32","1","94","12","27","10","9","23","8","12","395","68","21","224","8","19","13","5","12","1","1","3","7","0","9","4","33","24","8","1","0","0","0","3","3",
"310M600US10740","Albuquerque, NM Metro Area","916528","727298","483912","25777","60151","23298","1128","133032","189230","180171","5632","13369","6992","596","145977","1371","400","58","1589","383","61","2649","377","585","132","8304","1001","300","38","1030","430","66","4011","342","772","73","41","12","84","19","26","6","2","22","7","22","679","114","14","315","15","31","8","54","70","5","39","5","0","0","0","9","73","9","53","4","3","3","1","3","3",
"310M600US10780","Alexandria, LA Metro Area","152192","144367","95219","43592","1232","1895","41","2388","7825","7287","1402","2365","593","49","2255","268","82","7","217","7","2","21","6","7","6","482","189","40","1","64","19","11","114","4","29","0","2","1","1","5","0","2","0","0","0","0","49","13","0","32","1","0","0","0","1","1","0","0","1","0","0","0","2","0","0","0","0","0","2","5","5",
"310M600US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","861889","786324","628386","54138","2711","27246","319","73524","75565","70934","9324","6464","4499","171","42853","763","367","67","4924","39","4","724","96","337","302","3892","1104","193","32","1416","77","25","501","66","195","26","21","5","157","5","43","3","3","18","0","2","718","75","5","567","6","32","0","5","6","3","14","0","2","0","2","1","17","10","5","2","0","0","0","4","4",
"310M600US11020","Altoona, PA Metro Area","122822","117986","113618","2533","164","878","13","780","4836","4643","1144","1526","345","58","1435","23","9","0","68","3","2","7","19","1","3","174","78","9","0","16","13","0","16","18","5","4","5","0","4","0","3","0","0","0","0","3","19","6","8","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
