,CBSAFP,RentGrowth
0,10180,0.0277
3,10420,0.0489
5,10500,0.0382
10,10540,0.0212
11,10580,0.0303
16,10740,0.0152
20,10780,0.0204
22,11020,0.053
23,11100,0.0211
28,11180,0.0191
29,11260,0.0212
31,11460,0.0256
32,11540,0.0236
34,11700,0.0188
38,12020,0.0074
42,12060,-0.0272
71,12260,-0.0058
78,12420,-0.0637
83,12540,0.0134
84,12580,0.0241
91,12620,0.0351
92,12700,-0.0057
93,12940,0.0172
102,12980,0.0387
103,13020,0.041
104,13140,0.0296
108,13220,0.0138
110,13380,0.0097
111,13740,0.0031
114,13780,0.0585
116,13820,0.0022
123,13900,0.0527
127,13980,0.0043
132,14010,0.0409
134,14020,0.0171
136,14460,0.0279
143,14500,-0.0047
144,14540,-0.003
148,15260,0.0016
151,15380,0.0391
153,15500,0.0169
154,15540,0.0498
155,16020,0.0108
158,16180,0.0043
159,16220,0.0744
160,16300,0.0182
163,16620,0.041
166,16700,0.0105
169,16740,-0.0228
179,16820,0.0546
185,16860,-0.0021
191,16940,0.0601
192,16980,0.0235
206,17020,0.0208
207,17140,0.0284
222,17300,0.0475
225,17420,0.0269
227,17660,0.007
228,17820,-0.0102
230,17860,0.0693
231,17900,0.022
237,17980,0.0279
242,18020,-0.006
243,18140,0.029
253,18580,-0.0038
256,18700,0.0214
257,19060,0.0092
259,19100,-0.0163
271,19140,0.0052
273,19180,0.0349
274,19380,0.0388
277,19460,0.0296
279,19500,0.0773
280,19740,0.0024
290,19780,0.0153
295,19820,0.0231
296,20020,0.0322
299,20100,0.0274
300,20220,0.0226
301,20260,0.0237
304,20500,-0.0115
305,20700,0.0356
306,20740,0.0272
308,20940,0.0157
309,21300,0.0272
310,21340,0.0253
312,21420,0.0625
313,21500,0.0688
314,21660,0.0132
315,21780,0.0565
319,21820,0.0009
320,22020,0.0226
322,22140,0.0267
323,22180,0.0016
325,22220,0.0016
326,22380,0.0043
327,22420,0.0271
328,22500,0.0188
330,22540,0.048
331,22660,0.0109
332,22900,0.0528
336,23060,0.0363
339,23420,0.0223
340,23460,0.0647
341,23540,0.0026
343,23580,-0.0207
344,23900,0.0056
345,24020,0.0238
347,24140,-0.0149
348,24220,0.0298
350,24260,0.0594
354,24300,0.0315
355,24340,0.0318
356,24420,0.0135
357,24500,0.0494
358,24540,0.0122
359,24580,0.0377
362,24660,0.0262
363,24780,0.0176
