ID,CBSAFP,RentGrowth
0,10180,0.0277
1,10180,0.0277
2,10180,0.0277
3,10420,0.0489
4,10420,0.0489
5,10500,0.0382
6,10500,0.0382
7,10500,0.0382
8,10500,0.0382
9,10500,0.0382
10,10540,0.0212
11,10740,0.0152
12,10740,0.0152
13,10740,0.0152
14,10740,0.0152
15,10780,0.0204
16,10780,0.0204
17,11020,0.053
18,11100,0.0211
19,11100,0.0211
20,11100,0.0211
21,11100,0.0211
22,11100,0.0211
23,11180,0.0191
24,11260,0.0212
25,11260,0.0212
26,11460,0.0256
27,11540,0.0236
28,11540,0.0236
29,11700,0.0188
30,11700,0.0188
31,11700,0.0188
32,11700,0.0188
33,12220,0.0341
34,12540,0.0134
35,12620,0.0351
36,12700,-0.0057
37,12940,0.0172
38,12940,0.0172
39,12940,0.0172
40,12940,0.0172
41,12940,0.0172
42,12940,0.0172
43,12940,0.0172
44,12940,0.0172
45,12940,0.0172
46,12980,0.0387
47,13020,0.041
48,13220,0.0138
49,13220,0.0138
50,13380,0.0097
51,13740,0.0031
52,13740,0.0031
53,13740,0.0031
54,13780,0.0585
55,13780,0.0585
56,13900,0.0527
57,13900,0.0527
58,13900,0.0527
59,13900,0.0527
60,14010,0.0409
61,14010,0.0409
62,14020,0.0171
63,14020,0.0171
64,14100,-0.0139
65,14100,-0.0139
66,14500,-0.0047
67,14540,-0.003
68,14540,-0.003
69,14540,-0.003
70,14540,-0.003
71,15180,0.0185
72,15260,0.0016
73,15260,0.0016
74,15260,0.0016
75,15500,0.0169
76,15680,0.0625
77,16060,0.0371
78,16060,0.0371
79,16180,0.0043
80,16220,0.0744
81,16300,0.0182
82,16300,0.0182
83,16300,0.0182
84,16540,0.0139
85,16580,0.0419
86,16580,0.0419
87,16580,0.0419
88,16620,0.041
89,16620,0.041
90,16620,0.041
91,16820,0.0546
92,16820,0.0546
93,16820,0.0546
94,16820,0.0546
95,16820,0.0546
96,16820,0.0546
97,16940,0.0601
98,17020,0.0208
99,17420,0.0269
100,17420,0.0269
101,17660,0.007
102,17780,0.0382
103,17780,0.0382
104,17780,0.0382
105,17820,-0.0102
106,17820,-0.0102
107,17860,0.0693
108,17900,0.022
109,17900,0.022
110,17900,0.022
111,17900,0.022
112,17900,0.022
113,17900,0.022
114,18020,-0.006
115,18140,0.029
116,18140,0.029
117,18140,0.029
118,18140,0.029
119,18140,0.029
120,18140,0.029
121,18140,0.029
122,18140,0.029
123,18140,0.029
124,18140,0.029
125,18580,-0.0038
126,18580,-0.0038
127,18580,-0.0038
128,18700,0.0214
129,19140,0.0052
130,19140,0.0052
131,19180,0.0349
132,19300,-0.0066
133,19380,0.0388
134,19380,0.0388
135,19380,0.0388
136,19460,0.0296
137,19460,0.0296
138,19500,0.0773
139,20020,0.0322
140,20020,0.0322
141,20020,0.0322
142,20100,0.0274
143,20220,0.0226
144,20700,0.0356
145,20740,0.0272
146,20740,0.0272
147,20940,0.0157
148,21060,0.0343
149,21060,0.0343
150,21060,0.0343
151,21300,0.0272
152,21340,0.0253
153,21340,0.0253
154,21420,0.0625
155,21500,0.0688
156,21660,0.0132
157,21820,0.0009
158,22140,0.0267
159,22180,0.0016
160,22180,0.0016
161,22380,0.0043
162,22420,0.0271
163,22500,0.0188
164,22500,0.0188
165,22520,0.0467
166,22520,0.0467
167,22540,0.048
168,22660,0.0109
169,23060,0.0363
170,23060,0.0363
171,23060,0.0363
172,23420,0.0223
173,23460,0.0647
174,23540,0.0026
175,23540,0.0026
176,23580,-0.0207
177,23900,0.0056
178,24020,0.0238
179,24020,0.0238
180,24140,-0.0149
181,24260,0.0594
182,24260,0.0594
183,24260,0.0594
184,24260,0.0594
185,24300,0.0315
186,24420,0.0135
187,24500,0.0494
188,24540,0.0122
189,24580,0.0377
190,24580,0.0377
191,24580,0.0377
192,24780,0.0176
193,25060,0.0371
194,25060,0.0371
195,25060,0.0371
196,25220,-0.0403
197,25260,0.0239
198,25500,0.039
199,25500,0.039
200,25620,0.0318
201,25620,0.0318
202,25620,0.0318
203,25980,0.1353
204,25980,0.1353
205,26140,0.023
206,26300,0.1028
207,26380,-0.0118
208,26380,-0.0118
209,26620,-0.027
210,26620,-0.027
211,26820,0.0158
212,26820,0.0158
213,26820,0.0158
214,26980,0.0206
215,26980,0.0206
216,27060,0.0023
217,27100,0.0138
218,27140,0.0362
219,27140,0.0362
220,27140,0.0362
221,27140,0.0362
222,27140,0.0362
223,27140,0.0362
224,27180,0.0049
225,27180,0.0049
226,27180,0.0049
227,27260,-0.03
228,27260,-0.03
229,27260,-0.03
230,27260,-0.03
231,27260,-0.03
232,27340,0.0036
233,27500,0.0313
234,27620,0.0613
235,27620,0.0613
236,27620,0.0613
237,27620,0.0613
238,27740,0.0615
239,27740,0.0615
240,27740,0.0615
241,27780,0.087
242,27860,0.0647
243,27860,0.0647
244,27900,0.0217
245,27900,0.0217
246,27980,-0.0177
247,27980,-0.0177
248,28100,0.0306
249,28420,0.0199
250,28420,0.0199
251,28740,0.0077
252,28940,0.0134
253,28940,0.0134
254,28940,0.0134
255,28940,0.0134
256,28940,0.0134
257,28940,0.0134
258,28940,0.0134
259,28940,0.0134
260,28940,0.0134
261,29020,0.0874
262,29180,-0.0006
263,29180,-0.0006
264,29180,-0.0006
265,29180,-0.0006
266,29180,-0.0006
267,29200,0.0411
268,29200,0.0411
269,29200,0.0411
270,29340,-0.0018
271,29340,-0.0018
272,29540,0.0632
273,29700,0.0221
274,29740,0.0325
275,29940,0.0224
276,30020,0.0138
277,30020,0.0138
278,30140,0.0183
279,30340,0.0412
280,30620,0.0288
281,30700,0.0201
282,30700,0.0201
283,30980,-0.0154
284,30980,-0.0154
285,30980,-0.0154
286,31020,0.0148
287,31180,0.0079
288,31180,0.0079
289,31180,0.0079
290,31340,0.0086
291,31340,0.0086
292,31340,0.0086
293,31340,0.0086
294,31340,0.0086
295,31460,0.0292
296,31540,0.0317
297,31540,0.0317
298,31540,0.0317
299,31540,0.0317
300,31740,0.0499
301,31740,0.0499
302,31900,0.0298
303,32780,0.0239
304,32900,0.0202
305,33140,0.0344
306,33220,0.0207
307,33260,0.0319
308,33260,0.0319
309,33540,0.0052
310,33660,0.0243
311,33700,0.0219
312,33740,0.0128
313,33740,0.0128
314,33780,0.0295
315,33860,0.0348
316,33860,0.0348
317,33860,0.0348
318,33860,0.0348
319,34060,0.0228
320,34060,0.0228
321,34100,0.0548
322,34100,0.0548
323,34620,-0.0063
324,34740,0.0465
325,34900,0.0231
326,35100,-0.0398
327,35100,-0.0398
328,35100,-0.0398
329,35660,0.0132
330,36100,-0.0236
331,36140,0.0666
332,36220,0.0539
333,36420,0.0241
334,36420,0.0241
335,36420,0.0241
336,36420,0.0241
337,36420,0.0241
338,36420,0.0241
339,36420,0.0241
340,36780,0.033
341,36980,0.0289
342,36980,0.0289
343,36980,0.0289
344,37460,0.0096
345,37460,0.0096
346,37900,0.0271
347,37900,0.0271
348,37900,0.0271
349,37900,0.0271
350,37900,0.0271
351,38220,0.0223
352,38220,0.0223
353,38220,0.0223
354,38300,0.0225
355,38300,0.0225
356,38300,0.0225
357,38300,0.0225
358,38300,0.0225
359,38300,0.0225
360,38300,0.0225
361,38340,0.0108
362,38540,-0.0083
